Id,SalePrice
1,207589.25
2,167628.9
3,221998.515
4,153899.39
5,272789.075
6,142809.15
7,299868.825
8,250649.4
9,140178.85
10,121044.75
11,131957.5
12,354533.59
13,137740.125
14,255976.465
15,154413.75
16,143444.695
17,147798.25
18,117569.03
19,157494.25
20,138731.0
21,321386.98
22,139443.825
23,236453.07
24,135494.1
25,148214.875
26,256950.985
27,131593.165
28,303939.78
29,192518.75
30,74798.13
31,60446.36
32,144880.75
33,194162.765
34,170440.235
35,276106.6
36,308398.515
37,147346.04
38,148727.73
39,118654.045
40,85578.715
41,159158.16
42,162381.5
43,141651.35
44,129695.25
45,134677.625
46,299869.63
47,249385.825
48,248760.74
49,115029.655
50,128032.75
51,175731.155
52,118794.5
53,106789.695
54,354591.15
55,129651.465
56,175565.995
57,211363.65
58,200538.2
59,412394.23
60,121951.85
61,162087.66
62,91170.865
63,204918.655
64,143931.675
65,230982.0
66,302762.54
67,263485.74
68,220671.405
69,92299.305
70,233726.855
71,258003.5
72,126945.5
73,187896.25
74,143128.125
75,114098.61
76,92182.41
77,127035.88
78,122816.095
79,134149.175
80,117084.985
81,183233.5
82,158139.7
83,246899.22
84,128342.25
85,170442.81
86,263223.885
87,183122.15
88,157837.235
89,103365.295
90,123421.5
91,106535.5
92,110251.545
93,147769.6666666667
94,197016.33
95,205255.14
96,175915.155
97,220573.75
98,126744.045
99,87205.43
100,129741.775
101,203195.25
102,176761.75
103,124737.69
104,206180.315
105,166836.25
106,249761.65
107,98260.335
108,111265.915
109,126603.225
110,192226.48
111,139440.555
112,176649.41
113,341029.05
114,188687.695
115,175555.885
116,174485.525
117,137704.04
118,147794.5
119,317047.0
120,173533.09
121,149221.565
122,105712.06
123,138229.375
124,169425.765
125,181480.87
126,92148.825
127,141598.5
128,95141.63
129,151705.825
130,145293.5
131,228917.0
132,234969.5
133,147767.685
134,226086.06
135,176293.2
136,177042.95
137,156165.7
138,252443.17
139,235168.125
140,219996.925
141,112755.5
142,253878.165
143,149802.66
144,216993.9
145,152341.39
146,142997.95
147,107616.25
148,227832.825
149,150079.4
150,109921.13
151,126818.325
152,351999.95
153,189775.2
154,206460.875
155,129772.375
156,83741.18
157,110522.465
158,313473.05
159,247993.495
160,289844.23
161,169906.385
162,389012.73
163,235754.58
164,104062.35
165,149673.25
166,124699.125
167,181906.2
168,326077.015
169,203425.325
170,242360.49
171,131054.185
172,199263.055
173,194161.6
174,163268.75
175,186595.0
176,227114.485
177,213673.9
178,155950.755
179,418686.55
180,107456.5
181,174673.0
182,161196.75
183,121765.5
184,218787.0
185,124262.1
186,419656.275
187,182646.35
188,136738.495
189,150529.045
190,271684.115
191,284876.57
192,180221.025
193,193257.49
194,150852.995
195,125266.415
196,151512.265
197,295592.06
198,268745.08
199,116133.99
200,282916.02
201,144314.965
202,169361.5
203,114400.25
204,145633.85238095236
205,110639.0
206,185978.25
207,145785.525
208,140630.84
209,261917.84
210,148595.5
211,98165.75
212,182048.9
213,242181.07
214,151573.5
215,154501.915
216,140131.375
217,208737.435
218,104356.0
219,275248.71
220,174355.565
221,227468.585
222,213156.02
223,177349.75
224,105213.75
225,386771.25
226,101979.63
227,287080.395
228,104393.0
229,125737.165
230,199377.115
231,144419.125
232,375426.025
233,98214.915
234,127762.79
235,213860.49
